Country,Year,GDP,GDP_Growth,GDP_per_Capita,Inflation,Unemployment,Population
Cameroon,2015,32210233020.4569,5.66695298703932,1415.00009710569,0.309791677780538,3.518,22763414.0
Cameroon,2020,40773241177.0505,0.259932915907115,1555.60370660749,0.705572037621721,3.87,26210558.0
Central African Republic,2000,916777282.691659,-2.48943244028874,239.154133726071,8.5066010783456,5.362,3833416.0
Central African Republic,2005,1337894378.73743,0.908210514871953,311.950023138687,4.18843708159385,5.314,4288810.0
Central African Republic,2010,2142591540.40068,4.63081843223307,476.873786950728,4.21130931097511,5.291,4492995.0
Central African Republic,2015,1695825714.19282,4.33712103020231,366.322853938121,2.70826310785282,5.477,4629320.0
Central African Republic,2020,2326720900.38047,0.899999996857062,462.879071294011,1.98216055627785,6.196,5026628.0
Chad,2000,1388506771.58756,-0.879681025444938,163.121663683369,5.28980485990252,0.79,8512093.0
Chad,2005,8655892392.92919,17.3325337350837,838.092107712557,66.7727215513556,0.678,10328092.0
Chad,2010,14058506663.7252,13.7943889290963,1141.80069268412,5.52309002734579,0.878,12312575.0
Chad,2015,14559599499.5011,3.31088567417588,993.990730610869,-6.99812478043094,0.974,14647621.0
Chad,2020,14932897821.2387,-0.408894363255357,866.947814890409,-1.17768160506618,1.707,17224679.0
Comoros,2000,351136579.648632,10.847878616072,655.007796688241,-4.46002451335903,4.398,536080.0
Comoros,2005,653845169.168576,2.83754786988332,1103.20658498402,0.315881658228534,4.522,592677.0
Comoros,2010,907979446.419588,4.80105816823387,1386.57533553376,0.682462151697223,4.248,654836.0
Comoros,2015,966029599.801228,1.99206468746939,1329.3704808998,-1.34674179006024,4.121,726682.0
Comoros,2020,1225039195.93742,4.00531793513311,1527.16990927956,-3.39647627676489,4.471,802163.0
Congo DR,2000,19088046305.7971,-6.91092731652101,377.925421481395,2630.1226744224,3.234,50507442.0
Congo DR,2005,11964484465.9388,6.13515115548972,203.561668860749,29.8695466222574,2.948,58775724.0
Congo DR,2010,21565721044.8462,7.10797657581392,314.53858629844,20.7863251488693,4.096,68563038.0
Congo DR,2015,37917706497.1793,6.91616711922561,467.9145805459,-1.15587859287012,4.439,81035531.0
Congo DR,2020,48716961860.1325,1.73542276681493,507.521230077872,3.90154957064527,5.345,95989998.0
Congo Rep,2000,3227927697.57921,7.5759803952642,1024.30159109181,47.0400830761822,19.87,3151345.0
Congo Rep,2005,6650001680.48544,7.75575897806648,1799.05158366154,32.4987395105464,19.796,3696393.0
Congo Rep,2010,13148396211.5955,9.93126543095578,2946.55798067708,29.4176837966296,19.345,4462290.0
Congo Rep,2015,12434793867.3568,0.415193061293763,2439.35189403696,-17.2539875449458,19.978,5097581.0
Congo Rep,2020,11468687464.0046,-6.26777227963225,1993.586671931,-13.9995678950009,22.198,5752791.0
Cote d'Ivoire,2000,16577533891.8785,-0.265789462275947,936.636541348798,1.60101728726917,4.816,17699004.0
Cote d'Ivoire,2005,24036918703.1747,0.996065564854788,1197.74616979415,1.21513493970562,5.999,20068458.0
Cote d'Ivoire,2010,34936307980.063,6.84804939907013,1553.54887048143,1.5162179241976,6.618,22488065.0
Cote d'Ivoire,2015,45815005169.2651,7.19494942728191,1814.71855088017,4.77568237270827,2.579,25246342.0
Cote d'Ivoire,2020,63027852805.4204,0.699728593494228,2179.72934832935,1.82838309372076,2.584,28915449.0
Equatorial Guinea,2000,1045998496.43872,18.2137799569674,1487.3165506701,64.7350222970558,7.955,703279.0
Equatorial Guinea,2005,8217369092.65224,16.7487006053541,8673.9026086535,59.3290506697722,8.008,947367.0
Equatorial Guinea,2010,16314443436.2903,-8.92417588851806,13720.1658723222,24.9065341802403,8.07,1189085.0
Equatorial Guinea,2015,13185496881.0174,-9.11004114881537,9068.91003238645,-20.1927503678985,7.95,1453923.0
Equatorial Guinea,2020,9893816007.7398,-4.79108083383294,5764.05502912947,-10.1685457458373,8.781,1716468.0
Eritrea,2000,706370815.584416,-3.14198590251638,314.357396753501,24.9775947531466,5.608,2247031.0
Eritrea,2005,1098424685.66169,2.57444955124846,412.753079199423,7.62368935878268,5.579,2661215.0
Eritrea,2010,1589515447.15447,2.19419034888082,539.699512069686,-16.2281996990874,5.675,2945186.0
Eritrea,2015,1589515447.15447,2.19419034888082,539.699512069686,-16.2281996990874,5.541,3105546.0
Eritrea,2020,1589515447.15447,2.19419034888082,539.699512069686,-16.2281996990874,6.088,3291271.0
