Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Ghana,GHA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,43.929,47.308,50.713,54.086,57.349
Ghana,GHA,Rural population (% of total population),SP.RUR.TOTL.ZS,56.071,52.692,49.287,45.914,42.651
Ghana,GHA,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,50.2143622422206,50.125450801931,50.0586418195035,50.0297410094561,50.0302905718518
Ghana,GHA,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,49.7856377577795,49.874549198069,49.9413581804965,49.9702589905439,49.9697094281482
Ghana,GHA,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,60.36841,..,43.56743,..,33.48685
Ghana,GHA,"Population, male",SP.POP.TOTL.MA.IN,9776449,11196556,12722558,14339499,15934246
Ghana,GHA,"Population, female",SP.POP.TOTL.FE.IN,9860638,11252882,12752437,14356569,15953563
Ghana,GHA,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,27.230113843564,14.963718404163,16.5956447322347,13.2529666807363,9.36557496583738
Ghana,GHA,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,40.240933123914,15.4389920155908,10.7333898354915,17.1499695007878,9.88728956269944
Ghana,GHA,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,14.279,..,8.368,5.894,..
Ghana,GHA,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,10.494,..,5.442,6.109,..
Ghana,GHA,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,11.225,..,7.796,7.093,..
Ghana,GHA,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,9.833,..,7.497,7.745,..
Ghana,GHA,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,11.353,..,6.493,4.846,..
Ghana,GHA,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,9.787,..,4.476,7.34,..
Ghana,GHA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,10.456,..,5.384,6.806,..
Ghana,GHA,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,13.341,..,10.438,14.225,..
Ghana,GHA,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,14.323,..,12.764,15.231,..
Ghana,GHA,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,10.735,6.095,5.866,6.571,3.519
Ghana,GHA,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,12.717,..,8.93,13.412,..
Ghana,GHA,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,10.456,5.816,5.384,6.806,3.313
Ghana,GHA,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,10.734,..,5.833,6.596,..
Ghana,GHA,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,10.183,5.552,4.938,7.018,3.119
Ghana,GHA,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,10.181,..,4.91,7.045,..
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,3600632111.41414,8331870169.14977,20265559483.8548,21251216798.7762,18137764930.651
Zambia,ZMB,GDP per capita (current US$),NY.GDP.PCAP.CD,359.429500988221,710.982068171696,1451.10616017155,1295.87788680068,951.644316655957
Zambia,ZMB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.89732294341896,7.23559900655543,10.2982233241213,2.92037511217961,-2.78505506545167
Zambia,ZMB,Rural population,SP.RUR.TOTL,6531295,7393286,8469434,9526723,10553378
Zambia,ZMB,Rural population growth (annual %),SP.RUR.TOTL.ZG,3.51236591407594,2.54235019761011,2.65063935299803,2.22047274735393,1.90325165555578
Zambia,ZMB,"Population, total",SP.POP.TOTL,10017631,11718819,13965594,16399089,19059395
Zambia,ZMB,Urban population,SP.URB.TOTL,3486336,4325533,5496160,6872366,8506017
Zambia,ZMB,Urban population growth (annual %),SP.URB.GROW,1.50874183150997,4.61354521569968,4.72511827838757,4.38082519680155,4.16008299579623
Zambia,ZMB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.802,36.911,39.355,41.907,44.629
Zambia,ZMB,Rural population (% of total population),SP.RUR.TOTL.ZS,65.198,63.089,60.645,58.093,55.371
Zambia,ZMB,"Population, female (% of total population)",SP.POP.TOTL.FE.ZS,51.6624139978803,51.2343521988009,50.7592229875793,50.5964264234434,50.5061047320757
Zambia,ZMB,"Population, male (% of total population)",SP.POP.TOTL.MA.ZS,48.3375860021197,48.7656478011991,49.2407770124207,49.4035735765566,49.4938952679243
Zambia,ZMB,Population living in slums (% of urban population),EN.POP.SLUM.UR.ZS,63.78455,..,56.02134,..,48.25813
Zambia,ZMB,"Population, male",SP.POP.TOTL.MA.IN,4842281,5714758,6876767,8101736,9433237
Zambia,ZMB,"Population, female",SP.POP.TOTL.FE.IN,5175350,6004061,7088827,8297353,9626158
Zambia,ZMB,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,32.6138705117288,16.6501990728872,13.9509131934519,6.65929211357343,13.9138706178858
Zambia,ZMB,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,26.0304117888121,18.324439701174,8.50176133365265,10.1105928909618,15.7330604721369
Zambia,ZMB,"Unemployment with advanced education, female (% of female labor force with advanced education)",SL.UEM.ADVN.FE.ZS,..,..,..,..,10.861
Zambia,ZMB,Unemployment with basic education (% of total labor force with basic education),SL.UEM.BASC.ZS,..,..,..,14.303,4.627
Zambia,ZMB,Unemployment with advanced education (% of total labor force with advanced education),SL.UEM.ADVN.ZS,..,..,..,0.646,8.977
Zambia,ZMB,"Unemployment with advanced education, male (% of male labor force with advanced education)",SL.UEM.ADVN.MA.ZS,..,..,..,0.837,7.761
Zambia,ZMB,"Unemployment with basic education, female (% of female labor force with basic education)",SL.UEM.BASC.FE.ZS,..,..,..,21.533,4.585
Zambia,ZMB,"Unemployment with basic education, male (% of male labor force with basic education)",SL.UEM.BASC.MA.ZS,..,..,..,7.488,4.665
Zambia,ZMB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,12.93,15.9,13.19,11.888,6.032
Zambia,ZMB,Unemployment with intermediate education (% of total labor force with intermediate education),SL.UEM.INTM.ZS,..,..,..,4.744,11.057
Zambia,ZMB,"Unemployment with intermediate education, female (% of female labor force with intermediate education)",SL.UEM.INTM.FE.ZS,..,..,..,8.215,17.299
Zambia,ZMB,"Unemployment, female (% of female labor force) (modeled ILO estimate)",SL.UEM.TOTL.FE.ZS,11.387,14.744,12.955,6.097,6.565
Zambia,ZMB,"Unemployment with intermediate education, male (% of male labor force with intermediate education)",SL.UEM.INTM.MA.ZS,..,..,..,3.384,7.775
Zambia,ZMB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,12.93,15.9,13.19,5.942,6.033
Zambia,ZMB,"Unemployment, female (% of female labor force) (national estimate)",SL.UEM.TOTL.FE.NE.ZS,11.31,..,..,18.767,6.542
Zambia,ZMB,"Unemployment, male (% of male labor force) (modeled ILO estimate)",SL.UEM.TOTL.MA.ZS,14.216,16.848,13.38,5.815,5.59
Zambia,ZMB,"Unemployment, male (% of male labor force) (national estimate)",SL.UEM.TOTL.MA.NE.ZS,14.12,..,..,6.225,5.572
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,6689958138.66446,5755215663.40053,12041602761.7901,19963058858.4528,26868564055.12
Zimbabwe,ZWE,GDP per capita (current US$),NY.GDP.PCAP.CD,562.556945680495,461.028318446444,901.55051752819,1386.41855927575,1730.45391034701
